Model,Accuracy,Precision,Recall,F1-score,Training time (sec),Training time (min),Total parameters,Trainable parameters after training
Custom CNN,0.4547121378804547,0.4117078778903099,0.4547121378804547,0.38579321800403066,241.27993329899982,4.021332221649997,457961,457001
MobileNetV2,0.7176384305097177,0.7112782806547883,0.7176384305097177,0.7105927212206213,253.52686519599956,4.22544775326666,2269513,1522249
ResNet50,0.7693436010267694,0.7738957209873326,0.7693436010267694,0.7679810117983339,415.4387977790002,6.923979962983337,23606153,15825161
