Model,Training time (sec),Training time (min),Total parameters,Trainable parameters after training
Custom CNN,241.27993329899982,4.021332221649997,457961,457001
MobileNetV2,253.52686519599956,4.22544775326666,2269513,1522249
ResNet50,415.4387977790002,6.923979962983337,23606153,15825161
